PAC,Account Name (CN),Address,CITY,CONTACT ,NOTES,Next Steps,SkinPen Notes,Brand,1Q24,2Q24,3Q24,4Q24,1Q25,2Q25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiti Green,,,,,,,,SKINPEN,,,,,"$6,484",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiti Green,4EYMED LLC (CN246670),9249 Highlands Rd hts #140 Colorado Springs 80920 ,,"Christine Bradley, owner ","Can be a good client but snazzy, non clinical, problems locking the tip on very often, does filler/tox, can be cheap/looks for deal, position rh/daxxy as more economical, has had staff turnover ",,Precision pen,SKINPEN,,"$1,632",,"$1,728","$1,488",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiti Green,Advanced Dermatology and Cosmetic Surgery - National Account (CN040793),,,,,,,SKINPEN,,"$1,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiti Green,Alana Rose Skin (CN282951),,,Alana ,"Small, solo esti, ",,,SKINPEN,,,,"$7,963",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiti Green,Albert Vein Institute (CN282953),,,,"Check in on, used to be on auto ship, could prob get RHA/daxxy",,,SKINPEN,,"$1,968",,,"$1,968",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiti Green,Alta Vista Dermatology (CN040750),, ,Dr. SZBAo,"Amandaoffice mgr, expect you to attend event in sept on Thurs nught, connected over email, industry known they suck, Darren main guy her husban, have 3 RF devices, could do more skinpen ",Will need to stroke Amanda's ego,PRECISION,SKINPEN,,"$3,216",,,"$3,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiti Green,Apres Skin & Wellness (CN283183),,,,SHOULDN'T BE ON MY TERRITORY LIST,,,SKINPEN,,,,"$5,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiti Green,Artistry Skin and Laser (CN184876),,LITTLETON,"Laura Carlsen, ","Laura, owner, texted me her cell, she does injectables, talk to about daxxy/rha ",,Precision ,SKINPEN,,"$1,728","$3,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiti Green,AURORA MEDICAL SPA - National Account (CN063125),,,,"Reach out for patient event every quarter for free swag, don't do a ton of business. Don't spend much time there ",,Precision ,SKINPEN,,$0,"$4,495",$0,"$1,728",$0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiti Green,Biomend Aesthetics and Wellness (CN184868),,,Kristen Coleman,"7/16, waiting for response via text, good account, spend time here, up and running w/ SkinPen but not their focus, ",,PRECISION,SKINPEN,,,"$5,952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaiti Green,Broadway Family Practice (CN283946),,,,"Daughter of doctor, husband just committed s. ",,Precision,SKINPEN,,"$5,879",,"$1,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
